variant,rebalance,top_k,cash_rule,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,cash_exposure,annualized_turnover,signal_count
monthly_top3_current_0bp,monthly,3,current,0.0,3.8738122524171255,0.09585680726450363,0.21140503337213398,0.5512408242885373,0.6812916168744051,-0.4071998045595928,0.23540484595314976,0.6980989756506844,0.06303306139774545,0.20800265175667015,0.40533362002136997,0.5021924708689769,-0.4071998045595928,0.15479639403540207,1.8701579367890249,0.13004377490798547,0.2147655171021552,0.6940819050876568,0.8567096592403084,-0.3075636284022055,0.42281909464901124,0.08741753063147974,13.439208294062205,209
monthly_top3_none_0bp,monthly,3,none,0.0,4.658340490646291,0.10535034276317123,0.21882364958484607,0.5803684560592288,0.7536793549381731,-0.3819856268489924,0.2757966147370739,1.0159496436495403,0.08429867322433626,0.21542220954834318,0.49284043962846186,0.6573018442491254,-0.3504949734386339,0.24051321591662034,1.8067866221116566,0.12712205217912076,0.2221966374741506,0.6661899218194653,0.8439297122710273,-0.38198562684899307,0.33279276298365745,0.0,12.449575871819038,209
monthly_top3_current_5bp,monthly,3,current,5.0,3.3521080411886004,0.08870994997754034,0.21142644084455525,0.5194027779548548,0.6423433946170554,-0.4210884515416763,0.210668209144084,0.5972574731211542,0.0555467257702531,0.20803665853348777,0.3705146833710678,0.4593365221187205,-0.4210884515416763,0.13191225161100265,1.7247379426463199,0.12325132619467749,0.21477399197431774,0.6651657981937453,0.8214347616207267,-0.3124157838782715,0.39451056110116595,0.08741753063147974,13.439208294062205,209
monthly_top3_risk_off_0bp,monthly,3,risk_off,0.0,3.94178207678842,0.0967342873269319,0.20285573488316522,0.5698253819154044,0.6663968859755501,-0.3629290449602528,0.26653773973236566,0.9587497826399207,0.08070174311445788,0.19961282697856708,0.4984546534296102,0.5949115871091828,-0.3629290449602528,0.22236231636764195,1.5229266752632848,0.1132733134348749,0.2060725409156313,0.6397706325132191,0.7344481239677161,-0.2818907734448809,0.40183405810202455,0.17177191328934968,14.310084825636192,209
monthly_top3_none_5bp,monthly,3,none,5.0,4.09467950844169,0.09866732437151038,0.2188579416927384,0.5518353813838344,0.7162647854332616,-0.38732534212510383,0.254740172254573,0.9088702691708617,0.07748848483061854,0.2154694415088474,0.46283564440523906,0.6166988182382576,-0.358035377736317,0.21642689423749245,1.668950106627523,0.120560194106341,0.22221810937951786,0.6390994826021178,0.8095395416338228,-0.3873253421251044,0.3112633773067206,0.0,12.449575871819038,209
monthly_top3_current_10bp,monthly,3,current,10.0,2.8859397347775513,0.08160473962289383,0.21146922114761532,0.4875219003562366,0.6029925720797046,-0.43466287347063004,0.18774260375934276,0.5023346951111376,0.04810749548329163,0.20809593460881456,0.33566636298278807,0.4161248326778786,-0.43466287347063004,0.11067771926129832,1.5866005407603745,0.11649543688044295,0.2148000253235587,0.6361999638615528,0.78587754258879,-0.3172381652845784,0.36721759746637284,0.08741753063147974,13.439208294062205,209
monthly_top3_none_10bp,monthly,3,none,10.0,3.5868684407554907,0.09202058832119953,0.21890916512177286,0.5232707717982643,0.6788645216589422,-0.39262205168218667,0.2343744777628712,0.8074138725034348,0.07071664755996543,0.21553541369791918,0.4328063660664652,0.5761276422550671,-0.3654932663989724,0.19348276442053833,1.5378074775990629,0.11403271873343845,0.22225474309242463,0.6119725276437744,0.7751624618442793,-0.3926220516821871,0.2904389049083358,0.0,12.449575871819038,209
monthly_top3_risk_off_5bp,monthly,3,risk_off,5.0,3.3805342558096756,0.0891196556077023,0.20288019994767628,0.534489340106516,0.6261051345939345,-0.3778110750093705,0.23588417995817604,0.8380928078380849,0.07279908962494974,0.199664076719419,0.46073542865277844,0.5505175435781278,-0.3778110750093705,0.19268648920136652,1.3831953626770055,0.10594252819591055,0.20607059563956198,0.6067727571393411,0.6980057751857178,-0.2857144637433454,0.3707986176404346,0.17177191328934968,14.310084825636192,209
monthly_top3_current_20bp,monthly,3,current,20.0,2.097313657223293,0.06751840208226012,0.21161884192179944,0.42367053638733987,0.52413760098853,-0.4608963275284734,0.14649368643122665,0.32889178259480056,0.03336930441315267,0.20829019916329264,0.2659325472596504,0.3297289748920644,-0.4608963275284734,0.07240089022208832,1.3307493490368851,0.10309263897403298,0.21490473762530854,0.5781476891209573,0.7143161909684422,-0.32679423394765406,0.3154665176575495,0.08741753063147974,13.439208294062205,209
monthly_top3_risk_off_10bp,monthly,3,risk_off,10.0,2.8826718428390627,0.08155215176621988,0.20293046010973081,0.49909836957510945,0.584969392638212,-0.3923999019939901,0.20782918484895269,0.7247816831762128,0.06494805946042348,0.19974373446692503,0.42297539735870415,0.5054785799070763,-0.3923999019939901,0.16551497370511117,1.2511091581683953,0.09865470410263621,0.20609188419267999,0.5737095741595754,0.6605752374026838,-0.2895204670864332,0.3407520894651773,0.17177191328934968,14.310084825636192,209
monthly_top3_dual_trend_0bp,monthly,3,dual_trend,0.0,1.973857882593041,0.06501190655018618,0.18908259279490802,0.4374778730626238,0.4725788439810438,-0.4533191694720796,0.14341309816193495,0.394289522774647,0.03911594161287013,0.18554833667923085,0.30498273909108936,0.32286579496979145,-0.4533191694720796,0.08628786128418803,1.1328840488416225,0.09180363392316915,0.19257027437384658,0.5665324439533126,0.6243792368089549,-0.2661180883980778,0.3449732954110317,0.29359095193213947,12.212064090480677,209
monthly_top3_none_20bp,monthly,3,none,20.0,2.717318937267757,0.07883526297417243,0.2190623545087281,0.4660736535226859,0.6041447017663635,-0.40308773797551933,0.19557842014772556,0.6202174438835517,0.057287259958870296,0.2157235051045505,0.3727058941674002,0.49535683363704675,-0.38528550188333743,0.14868781638250328,1.294333363278441,0.10108027398630082,0.22237346286658494,0.5576314353170891,0.7061113440430113,-0.4030877379755199,0.2507649438654955,0.0,12.449575871819038,209
monthly_top1_current_0bp,monthly,1,current,0.0,3.0142192557396292,0.08363681139161061,0.25423306427258896,0.45200265939045087,0.5933167749539454,-0.4263607045834066,0.19616444595505447,0.5626918359609183,0.052884194793968886,0.2406801654000809,0.33957416710911464,0.4507207029945192,-0.4263607045834066,0.1240362777935682,1.5687849410637273,0.11560103307431713,0.2672014470198332,0.5554368494848227,0.7258354869325275,-0.3260034889410004,0.3546006009010487,0.08741753063147974,17.516493873704054,209
weekly_top3_none_0bp,weekly,3,none,0.0,3.9637375290665924,0.09661515212353833,0.213578201507151,0.551028297673616,0.7213992733264418,-0.35763746553008124,0.2701482966286482,1.2973306910816533,0.09994886437283101,0.21365699391139134,0.5634786056971062,0.7655170380294126,-0.327186205171378,0.30548006851474213,1.16065434042042,0.09344252881369197,0.21349782202902032,0.5383449664049563,0.6800441740313937,-0.3576374655300798,0.26127723692257515,0.0,27.29704364148287,907
monthly_top3_dual_trend_5bp,monthly,3,dual_trend,5.0,1.6830289291742164,0.058696374394037854,0.18911088862447045,0.40512431114412645,0.438233794817364,-0.46256233034826055,0.12689397848252296,0.3246055865376398,0.03298399282447795,0.18561264462609567,0.27229393587133255,0.28858260829347054,-0.46256233034826055,0.07130713129978503,1.0255304344498004,0.08528524997010001,0.1925636111259274,0.5345378332108114,0.5899986363546201,-0.2663703036521843,0.32017551806924427,0.29359095193213947,12.212064090480677,209
monthly_top1_current_5bp,monthly,1,current,5.0,2.464394454074172,0.07445079679005562,0.2541909809769225,0.4176221115767253,0.5481059322860312,-0.4365977852426526,0.17052490714921356,0.43618819370651685,0.04267358470430027,0.24063918989137142,0.29812667612350546,0.39560529981303977,-0.4365977852426526,0.09774118455636031,1.4122148262013372,0.1074956872139794,0.2671569919674302,0.5273920903897344,0.6890262047318518,-0.3313770529663749,0.32439086005417245,0.08741753063147974,17.516493873704054,209
monthly_top3_current_30bp,monthly,3,current,30.0,1.46794646388541,0.05359608902745938,0.2118537146847008,0.3597645671969817,0.44521336169461506,-0.48595331314940937,0.1102906134750046,0.17525331110727072,0.018816407823829095,0.20858516327416687,0.19623390418225908,0.24326750012863504,-0.48595331314940937,0.03872060816271022,1.0999272587117588,0.0898339935300081,0.2150795514700547,0.5199824240181098,0.6429478321641421,-0.3362330835473748,0.26717773451151366,0.08741753063147974,13.439208294062205,209
monthly_top1_none_0bp,monthly,1,none,0.0,2.6800005427327656,0.07820635960707101,0.26130499361666837,0.4270110218558661,0.5848129874153781,-0.46108823552705236,0.16961256779339925,0.5666850346642618,0.05319443038225091,0.2475813715945609,0.3381424353335897,0.47961317948126975,-0.46108823552705236,0.11536713861598831,1.3489089774329632,0.10408578263521973,0.2744520886454251,0.5090371342928847,0.6793466839002049,-0.3851856828086846,0.2702223558161621,0.0,17.160226201696513,209
monthly_top3_risk_off_20bp,monthly,3,risk_off,20.0,2.0494250893641026,0.06655750060596599,0.20310827930090997,0.42820596605717787,0.5022740581434018,-0.4205945556739852,0.15824622479791822,0.5184553817367288,0.0493996791951683,0.1999881260928823,0.34739776694614727,0.41524058829525456,-0.4205945556739852,0.11745201769435028,1.0082414841036256,0.08420705401791762,0.20620412614896144,0.5074322048971338,0.5849755553779337,-0.29707969237513565,0.28344937799243997,0.17177191328934968,14.310084825636192,209
monthly_top3_none_30bp,monthly,3,none,30.0,2.011822516320995,0.06579297361149972,0.21928307591654125,0.4088305295273501,0.529707295003396,-0.4133852322451417,0.15915656506201414,0.45220046298736194,0.044008985966499825,0.2159862881218848,0.3126019950234263,0.414955766217939,-0.4071150613130583,0.10809962624462655,1.0739715990210388,0.08826344034617839,0.22255269979357556,0.503211462912994,0.637379107072141,-0.4133852322451419,0.21351377229130725,0.0,12.449575871819038,209
monthly_top3_dual_trend_10bp,monthly,3,dual_trend,10.0,1.420452914450824,0.05241355112825663,0.18916278774054507,0.3727339149564105,0.40342036564475325,-0.4716570721277997,0.1111263971762406,0.25835308068812024,0.026883402438278914,0.18570191086550644,0.23959556982399405,0.25405031295056024,-0.4716570721277997,0.056997772379409194,0.9235085538370571,0.07880112296597885,0.1925792279573548,0.502482867678015,0.5549585162769597,-0.26662251890629074,0.2955531411571238,0.29359095193213947,12.212064090480677,209
monthly_top1_current_10bp,monthly,1,current,10.0,1.9894391218878344,0.06533359815910278,0.2541820935287427,0.3831801285855564,0.5028233522462762,-0.446662157192367,0.14627072633548652,0.3198141969228394,0.032551958684441384,0.240637948379343,0.25662268717472114,0.3404694295451666,-0.446662157192367,0.0728782552098364,1.2650454350754314,0.09944121661881633,0.26713983052979823,0.4992869791706826,0.6521626588497699,-0.33671309421622275,0.2953292233861254,0.08741753063147974,17.516493873704054,209
